2025-10-14_13-20-46 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 0 | G2-4: 0
2025-10-14_14-07-39 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-14_15-00-06 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 0 | G2-4: 0
2025-10-14_16-08-45 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-14_17-55-17 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-14_23-09-10 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-14_23-23-20 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 3 | G2-4: 0
2025-10-14_23-52-50 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-14_23-53-48 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-15_00-12-25 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-15_00-13-57 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 2 | G2-4: 0
2025-10-15_00-30-14 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-15_00-46-01 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-15_00-57-52 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-15_00-59-58 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-15_01-09-21 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 0 | G2-3: 1 | G2-4: 0
2025-10-15_01-11-13 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-15_01-15-01 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 2 | G2-4: 0
2025-10-15_01-17-09 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 3 | G2-4: 0
2025-10-15_01-21-10 | Pieces: 1 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 0 | G2-4: 0
2025-10-15_01-24-28 | Pieces: 2 | G2-0: 0 | G2-1: 0 | G2-2: 1 | G2-3: 1 | G2-4: 0
2025-10-15_01-25-48 | Pieces: 3 | G2-0: 0 | G2-1: 0 | G2-2: 2 | G2-3: 1 | G2-4: 0
2025-10-15_01-27-28 | Pieces: 4 | G2-0: 0 | G2-1: 0 | G2-2: 3 | G2-3: 1 | G2-4: 0
2025-10-15_01-31-13 | Pieces: 5 | G2-0: 0 | G2-1: 0 | G2-2: 4 | G2-3: 1 | G2-4: 0
2025-10-15_01-33-19 | Pieces: 6 | G2-0: 0 | G2-1: 0 | G2-2: 4 | G2-3: 2 | G2-4: 0
2025-10-15_01-35-35 | Pieces: 7 | G2-0: 0 | G2-1: 0 | G2-2: 5 | G2-3: 2 | G2-4: 0
